parking_set_type,parking_set_size,time_ms,path_distance
ev,56011,2.343955,19554275
ev,56011,5.6990490000000005,146948773
ev,56011,4.929382,NaN
ev,56011,3.805808,71063479
ev,56011,4.118933,57553840
ev,56011,4.792225,NaN
ev,56011,2.558002,30027775
ev,56011,2.68993,56614199
ev,56011,3.349707,47763513
ev,56011,3.513124,NaN
ev,56011,3.042445,37682514
ev,56011,1.933526,5181456
ev,56011,5.167368000000001,110339949
ev,56011,5.348091999999999,NaN
ev,56011,0.592576,48246554
ev,56011,3.316633,78825709
ev,56011,1.537761,NaN
ev,56011,3.923292,NaN
ev,56011,3.895343,62425462
ev,56011,1.017074,24940980
ev,56011,1.0865969999999998,NaN
ev,56011,2.143753,62637157
ev,56011,4.496303,36560229
ev,56011,2.147993,24796943
ev,56011,2.738023,NaN
ev,56011,5.380627,NaN
ev,56011,3.991807,75362142
ev,56011,3.62699,114077376
ev,56011,6.035446,NaN
ev,56011,3.5044709999999997,53099254
ev,56011,1.604425,26762218
ev,56011,3.3204350000000002,NaN
ev,56011,3.1026249999999997,60963869
ev,56011,6.296142000000001,173697330
ev,56011,6.594114,NaN
ev,56011,1.3295780000000001,14203682
ev,56011,5.3384,NaN
ev,56011,2.748821,31892267
ev,56011,4.363306,50025783
ev,56011,4.948179,NaN
ev,56011,4.900656,193860597
ev,56011,3.705574,111516105
ev,56011,2.54632,46488255
ev,56011,4.239307,NaN
ev,56011,3.608618,74863289
ev,56011,6.2858920000000005,NaN
ev,56011,3.614769,59052689
ev,56011,1.8118159999999999,3824715
ev,56011,2.585741,NaN
ev,56011,5.7305969999999995,65724927
ev,56011,5.173490999999999,NaN
ev,56011,2.8072719999999998,NaN
ev,56011,4.448844,NaN
ev,56011,3.223951,96320582
ev,56011,2.057644,30685878
ev,56011,4.768043,79750325
ev,56011,3.0749000000000004,36366364
ev,56011,5.001834000000001,NaN
ev,56011,2.699734,74843782
ev,56011,1.840929,47233099
ev,56011,1.517882,NaN
ev,56011,2.85558,59602930
ev,56011,3.045131,51816226
ev,56011,1.7972089999999998,11388049
ev,56011,2.429048,106409564
ev,56011,3.888545,41846791
ev,56011,1.693302,70052986
ev,56011,1.851725,57960688
ev,56011,1.640968,38765915
ev,56011,1.006872,78394761
ev,56011,3.004717,98294907
ev,56011,2.1974139999999998,20110926
ev,56011,1.626191,29198601
ev,56011,2.963325,66069176
ev,56011,2.2390209999999997,44692914
ev,56011,3.278159,NaN
ev,56011,3.230033,NaN
ev,56011,1.0871069999999998,21789396
ev,56011,4.65326,169966972
ev,56011,2.946361,75295590
ev,56011,3.661521,80560748
ev,56011,3.365644,46886427
ev,56011,4.975072,116291374
ev,56011,2.15457,82002835
ev,56011,1.638705,NaN
ev,56011,1.5843610000000001,30496424
ev,56011,2.928105,122193792
ev,56011,2.421284,31421773
ev,56011,4.2304889999999995,NaN
ev,56011,1.438666,NaN
ev,56011,6.329668,135667462
ev,56011,2.179543,69852909
ev,56011,3.794769,NaN
ev,56011,0.191719,NaN
ev,56011,4.48107,NaN
ev,56011,4.031652,114553875
ev,56011,5.160899,48187048
ev,56011,5.194281999999999,126186324
ev,56011,1.88831,81631480
ev,56011,1.942839,22578355
ev,56011,5.035165999999999,NaN
ev,56011,4.132727999999999,63134968
ev,56011,8.005199,NaN
ev,56011,2.902381,31151478
ev,56011,3.020297,163585927
ev,56011,6.265004,NaN
ev,56011,4.9603909999999996,150442299
ev,56011,6.8874640000000005,150624105
ev,56011,3.433015,NaN
ev,56011,5.479039,NaN
ev,56011,2.461337,43174775
ev,56011,5.640674,NaN
ev,56011,1.918442,NaN
ev,56011,2.8166290000000003,24206734
ev,56011,1.414722,23178219
ev,56011,3.487788,187703487
ev,56011,3.156677,NaN
ev,56011,0.255037,NaN
ev,56011,3.0965659999999997,NaN
ev,56011,4.803522999999999,NaN
ev,56011,2.663876,13930450
ev,56011,1.577175,26604560
ev,56011,1.857657,58028008
ev,56011,2.421884,38846079
ev,56011,4.978133,NaN
ev,56011,3.270582,29187865
ev,56011,1.4392610000000001,58241290
ev,56011,3.234378,67542998
ev,56011,3.4822249999999997,99676742
ev,56011,4.016178,NaN
ev,56011,5.0465670000000005,NaN
ev,56011,0.28230900000000003,NaN
ev,56011,3.626592,NaN
ev,56011,5.956772,NaN
ev,56011,5.122223,NaN
ev,56011,5.593573,NaN
ev,56011,3.1362959999999998,50559372
ev,56011,1.925576,41678133
ev,56011,1.6974399999999998,37586230
ev,56011,4.373572,105639283
ev,56011,3.2920100000000003,174237777
ev,56011,4.740644,187227481
ev,56011,3.5836599999999996,80870682
ev,56011,1.829817,44200465
ev,56011,2.139625,68931128
ev,56011,6.507143,NaN
ev,56011,2.61537,84475791
ev,56011,3.712592,66936339
ev,56011,2.080906,10348351
ev,56011,6.124701,118986602
ev,56011,4.260954,87486038
ev,56011,1.085812,8751381
ev,56011,1.7981900000000002,27821274
ev,56011,3.382013,NaN
ev,56011,5.093828,NaN
ev,56011,1.0966,9343802
ev,56011,3.9992530000000004,NaN
ev,56011,4.808768,NaN
ev,56011,1.324101,5807941
ev,56011,4.202582,NaN
ev,56011,2.504305,62188563
ev,56011,3.9649300000000003,54854323
ev,56011,2.547411,45979382
ev,56011,2.348735,43754332
ev,56011,2.3069140000000004,124318949
ev,56011,1.7862550000000001,28753481
ev,56011,3.733135,149886865
ev,56011,3.801676,155690884
ev,56011,2.3279720000000004,37642142
ev,56011,2.425092,NaN
ev,56011,3.805578,54267316
ev,56011,2.470756,62401359
ev,56011,5.0359039999999995,NaN
ev,56011,2.454686,21959564
ev,56011,2.289473,15188875
ev,56011,4.798633,NaN
ev,56011,6.021867,NaN
ev,56011,6.0146820000000005,NaN
ev,56011,3.804774,NaN
ev,56011,2.407959,60538710
ev,56011,0.474066,20553732
ev,56011,2.186833,62386333
ev,56011,3.194553,87769444
ev,56011,5.787713,98562449
ev,56011,3.900348,101760824
ev,56011,1.489221,43400158
ev,56011,2.860662,54586334
ev,56011,1.8826640000000001,63310260
ev,56011,2.778784,85757997
ev,56011,0.189676,NaN
ev,56011,1.986021,32196137
ev,56011,0.26488100000000003,NaN
ev,56011,2.803891,NaN
ev,56011,1.6769770000000002,100708590
ev,56011,1.5825010000000002,23097693
ev,56011,2.41795,64500193
ev,56011,4.625693,NaN
ev,56011,2.1135960000000003,20358612
