rel_core_size,abs_core_size,time_ms
0.05,16301145,4579.697537999999
0.05,16301145,16620.433379000002
0.05,16301145,14326.188591999999
0.05,16301145,13664.589063
0.05,16301145,2217.016522
0.05,16301145,10458.367326
0.05,16301145,205.021084
0.05,16301145,6.499572000000001
0.05,16301145,3060.910094
0.05,16301145,5.284589
0.05,16301145,15771.810888
0.05,16301145,11281.872175
0.05,16301145,209.595458
0.05,16301145,2707.0702770000003
0.05,16301145,470.68649600000003
0.05,16301145,266.681198
0.05,16301145,15564.11065
0.05,16301145,10622.535494
0.05,16301145,864.380493
0.05,16301145,14407.873262000001
0.05,16301145,2342.7017920000003
0.05,16301145,9556.529539
0.05,16301145,28.692203
0.05,16301145,14920.834727000001
0.05,16301145,3.3458170000000003
0.05,16301145,101.943947
0.05,16301145,16846.870179
0.05,16301145,12039.863876
0.05,16301145,11688.870542
0.05,16301145,13055.472377
0.05,16301145,30.334927
0.05,16301145,2739.438634
0.05,16301145,13461.563229
0.05,16301145,3349.044741
0.05,16301145,13108.609335000001
0.05,16301145,15352.138674000002
0.05,16301145,10022.43341
0.05,16301145,3.6928210000000004
0.05,16301145,2049.844353
0.05,16301145,12193.009594
0.05,16301145,13098.177649
0.05,16301145,10777.746052999999
0.05,16301145,11589.958899
0.05,16301145,5168.306751
0.05,16301145,15154.595512
0.05,16301145,3.910829
0.05,16301145,17299.046566
0.05,16301145,14404.360505999999
0.05,16301145,12647.950345
0.05,16301145,1016.9373100000001
0.05,16301145,14.92632
0.05,16301145,13384.70103
0.05,16301145,10853.630643
0.05,16301145,597.6941390000001
0.05,16301145,13619.192350000001
0.05,16301145,12197.703489
0.05,16301145,872.011412
0.05,16301145,12180.755073
0.05,16301145,12717.725399
0.05,16301145,13432.231242
0.05,16301145,13.188027
0.05,16301145,45.958427
0.05,16301145,1925.769485
0.05,16301145,47.127931
0.05,16301145,754.213436
0.05,16301145,2093.262014
0.05,16301145,69.168416
0.05,16301145,287.171937
0.05,16301145,692.770974
0.05,16301145,9820.985456
0.05,16301145,3851.8554489999997
0.05,16301145,1203.4930399999998
0.05,16301145,156.041409
0.05,16301145,14136.075905
0.05,16301145,11632.661937
0.05,16301145,1939.467464
0.05,16301145,898.211815
0.05,16301145,2211.071672
0.05,16301145,209.52311500000002
0.05,16301145,12673.724215
0.05,16301145,514.9145579999999
0.05,16301145,226.990104
0.05,16301145,11230.008282
0.05,16301145,1807.72321
0.05,16301145,10982.607547000001
0.05,16301145,2837.5976180000002
0.05,16301145,6720.680913
0.05,16301145,59.1541
0.05,16301145,10846.175317
0.05,16301145,9952.234461
0.05,16301145,10600.381222
0.05,16301145,41.836844
0.05,16301145,114.306851
0.05,16301145,10291.569743
0.05,16301145,10716.490598
0.05,16301145,14082.343312
0.05,16301145,14990.241896000001
0.05,16301145,10839.891886
0.05,16301145,14463.482212
0.05,16301145,80.522182
0.05,16301145,11236.457193
0.05,16301145,2.4739
0.05,16301145,12213.840971
0.05,16301145,11404.062326
0.05,16301145,1.931743
0.05,16301145,13168.510663
0.05,16301145,2266.699661
0.05,16301145,13776.595756
0.05,16301145,263.049238
0.05,16301145,4.377427
0.05,16301145,13194.214076
0.05,16301145,11838.8916
0.05,16301145,14647.803475
0.05,16301145,14515.873975
0.05,16301145,306.626091
0.05,16301145,806.7713640000001
0.05,16301145,12824.77837
0.05,16301145,93.937899
0.05,16301145,1919.6279590000001
0.05,16301145,73.721389
0.05,16301145,1957.6438679999999
0.05,16301145,12056.966283
0.05,16301145,10420.828515000001
0.05,16301145,500.10803400000003
0.05,16301145,134.698808
0.05,16301145,1331.413263
0.05,16301145,940.8948539999999
0.05,16301145,11833.204373
0.05,16301145,12307.152246
0.05,16301145,16945.753351
0.05,16301145,55.143592999999996
0.05,16301145,110.664704
0.05,16301145,93.954734
0.05,16301145,585.714718
0.05,16301145,295.724606
0.05,16301145,11590.373264
0.05,16301145,545.911384
0.05,16301145,14149.285601000001
0.05,16301145,1578.860841
0.05,16301145,11957.805917
0.05,16301145,3.763876
0.05,16301145,261.33897099999996
0.05,16301145,680.154142
0.05,16301145,13766.979497999999
0.05,16301145,8773.057439
0.05,16301145,12321.369015
0.05,16301145,13109.504626
0.05,16301145,862.06017
0.05,16301145,9263.451247
0.05,16301145,129.87258300000002
0.05,16301145,1973.634823
0.05,16301145,13526.521979
0.05,16301145,11278.022561
0.05,16301145,9516.238439
0.05,16301145,101.32588200000001
0.05,16301145,13456.215914
0.05,16301145,344.267112
0.05,16301145,170.18692199999998
0.05,16301145,656.111668
0.05,16301145,61.829203
0.05,16301145,9755.500109999999
0.05,16301145,10526.487714
0.05,16301145,58.513662000000004
0.05,16301145,1465.5470619999999
0.05,16301145,2143.755185
0.05,16301145,184.98410800000002
0.05,16301145,13404.86633
0.05,16301145,13902.587682
0.05,16301145,10508.006127999999
0.05,16301145,6.312011
0.05,16301145,30.969801
0.05,16301145,13047.514087
0.05,16301145,7.568987999999999
