parking_set_type,parking_set_size,time_ms,path_distance
ev,56011,2.556396,22209712
ev,56011,1.909172,23106123
ev,56011,1.993022,93507342
ev,56011,2.866089,86865094
ev,56011,6.447055,NaN
ev,56011,9.908776,314313754
ev,56011,1.9956269999999998,79727707
ev,56011,4.378549,105326258
ev,56011,3.828363,155393344
ev,56011,2.374954,75017452
ev,56011,5.104333,180710293
ev,56011,7.927181999999999,NaN
ev,56011,9.365260000000001,NaN
ev,56011,1.9645890000000001,75455208
ev,56011,5.335958,NaN
ev,56011,3.794501,91894722
ev,56011,9.117291,NaN
ev,56011,10.335255,NaN
ev,56011,1.924539,95516826
ev,56011,4.7317610000000005,NaN
ev,56011,4.981551,161289460
ev,56011,5.941587,356125720
ev,56011,3.572877,83949619
ev,56011,3.2958309999999997,95052018
ev,56011,2.179823,NaN
ev,56011,7.095641,147838948
ev,56011,4.599776,170448434
ev,56011,9.504057,NaN
ev,56011,1.401916,80845156
ev,56011,5.080302,NaN
ev,56011,2.2720119999999997,92061174
ev,56011,1.9622340000000003,11970235
ev,56011,1.261139,12726930
ev,56011,1.6039139999999998,32285906
ev,56011,1.7105810000000001,78905198
ev,56011,5.05513,230469966
ev,56011,4.564672,97096396
ev,56011,8.891509000000001,NaN
ev,56011,12.128125,NaN
ev,56011,4.687636,108733157
ev,56011,0.446337,NaN
ev,56011,3.013482,106770207
ev,56011,1.827621,19167079
ev,56011,0.5848169999999999,NaN
ev,56011,4.713808,157763092
ev,56011,2.039449,7571332
ev,56011,1.94827,14241606
ev,56011,9.020453,NaN
ev,56011,4.647527999999999,228324114
ev,56011,2.6925790000000003,NaN
ev,56011,2.156748,25378930
ev,56011,0.869165,NaN
ev,56011,3.888921,147226493
ev,56011,5.5298300000000005,NaN
ev,56011,8.065924,NaN
ev,56011,2.583508,NaN
ev,56011,3.6355720000000002,161969974
ev,56011,8.60179,NaN
ev,56011,5.91748,NaN
ev,56011,0.9423269999999999,81103312
ev,56011,3.092008,168360504
ev,56011,4.756662,361304901
ev,56011,3.50914,34150922
ev,56011,4.812609,98667297
ev,56011,3.9425909999999997,NaN
ev,56011,2.334899,23152081
ev,56011,3.0682270000000003,159591606
ev,56011,1.682642,24368603
ev,56011,1.3871630000000001,29422777
ev,56011,5.41987,NaN
ev,56011,5.08162,NaN
ev,56011,7.573349,NaN
ev,56011,7.891333,210388976
ev,56011,6.735042,143018328
ev,56011,4.441247,290278885
ev,56011,0.916791,NaN
ev,56011,1.4447640000000002,28351479
ev,56011,1.3380049999999999,109217403
ev,56011,4.270731,164695861
ev,56011,2.5073309999999998,77120749
ev,56011,3.596451,89477727
ev,56011,3.1090940000000002,100806112
ev,56011,8.278778,NaN
ev,56011,11.62647,NaN
ev,56011,1.705079,88016959
