speed_cap_kmh,time_ms,path_distance
30,9.100033,103602966
30,4.322492,NaN
30,14.641955999999999,139407642
30,67.283905,138960204
30,5.601169,NaN
30,189.649922,NaN
30,14.603753000000001,NaN
30,19.554121000000002,NaN
30,266.935193,NaN
30,18.788113,103645746
30,25.689039,125782614
30,24.18538,NaN
30,136.088519,NaN
30,263.515457,NaN
30,4.693521,NaN
30,11.94645,NaN
30,8.32211,31394622
30,10.962697,74940906
30,205.067471,NaN
30,11.420494,54520038
30,6.4569529999999995,9336834
30,26.54244,NaN
30,183.016739,NaN
30,216.558498,NaN
30,5.5337629999999995,11081370
30,54.480924,129007182
30,231.496659,255142392
30,253.349923,NaN
30,4.9142220000000005,NaN
30,196.681677,NaN
30,19.770849,113723724
30,241.12467800000002,NaN
30,188.84069,NaN
30,30.897534,NaN
30,158.345857,NaN
30,17.436971,152076876
30,246.882892,NaN
30,30.902373,NaN
30,219.468321,NaN
30,258.129031,NaN
30,118.92468600000001,NaN
30,30.330744,NaN
30,20.808279,NaN
30,59.895572,175981134
30,215.324586,NaN
30,104.857233,287521344
30,186.895163,322983900
30,32.135442,NaN
30,77.00173000000001,176399820
30,95.769897,NaN
30,8.241435000000001,NaN
30,243.298364,NaN
30,7.869601,NaN
30,247.81534299999998,NaN
30,240.469407,NaN
30,14.545562,76606380
30,217.22718999999998,NaN
30,5.040280999999999,NaN
30,10.144031,66787260
30,175.82446,NaN
30,146.627769,NaN
30,229.83202799999998,NaN
30,230.767726,NaN
30,26.448102000000002,134057196
30,15.092557,100644900
30,8.232501999999998,68201496
30,145.233107,NaN
30,203.462198,315425790
30,5.540464999999999,NaN
30,12.179706,NaN
30,258.407595,NaN
30,47.489496,162804786
30,6.132371999999999,140417328
30,48.734607,131641956
30,9.48387,NaN
30,187.927961,NaN
30,4.408799,NaN
30,253.782263,NaN
30,5.1965580000000005,40262442
30,13.081788000000001,73325640
30,13.475826999999999,NaN
30,5.8489830000000005,NaN
30,21.50662,NaN
30,30.829275,158368140
30,3.6711370000000003,NaN
30,159.891766,NaN
30,23.774155,131780502
30,253.55475500000003,NaN
30,6.124270999999999,NaN
30,6.3869110000000004,NaN
30,146.70353699999998,NaN
30,256.294494,NaN
30,246.08476100000001,NaN
30,15.391262,73974156
30,72.082695,200913612
30,43.649518,215490288
30,152.84195400000002,NaN
30,10.757620000000001,NaN
30,9.122848,NaN
30,34.644063,121688652
30,124.116063,NaN
30,15.183218,NaN
30,21.002414,NaN
30,221.46642799999998,NaN
30,259.622313,NaN
30,249.055774,NaN
