algo,graph_num_nodes,graph_num_edges,num_queue_pushes,num_settled,num_labels_propagated,num_labels_reset,num_nodes_searched,time_ms,path_distance,path_number_nodes,path_number_flagged_nodes,path_number_short_pauses,path_number_long_pauses
core_ch,81505729,189837356,11677753,17408879,19224343,2482,3732995,730.9840949999999,99898891,2647,6,4,1
core_ch_chpot,81505729,189837356,11677753,17408879,19224343,2482,3732995,75.682504,99898891,2647,6,4,1
astar_chpot,81505729,189837356,2,2,1,0,2,0.612962,NaN,NaN,NaN,NaN,NaN
astar_bidir_chpot,81505729,189837356,2,2,1,0,2,5.117216,NaN,NaN,NaN,NaN,NaN
core_ch,81505729,189837356,2,2,1,0,2,981.604598,NaN,NaN,NaN,NaN,NaN
core_ch_chpot,81505729,189837356,2,2,1,0,2,2.9214860000000002,NaN,NaN,NaN,NaN,NaN
astar_chpot,81505729,189837356,4214147,4460698,4949735,344,2680993,4967.6065579999995,97772706,2902,9,4,1
astar_bidir_chpot,81505729,189837356,4214147,4460698,4949735,344,2680993,29059.691553,97772706,2902,9,4,1
core_ch,81505729,189837356,4214147,4460698,4949735,344,2680993,522.8526380000001,NaN,NaN,NaN,NaN,NaN
core_ch_chpot,81505729,189837356,4214147,4460698,4949735,344,2680993,619.538185,NaN,NaN,NaN,NaN,NaN
astar_chpot,81505729,189837356,723992,707903,786930,28,526487,657.524384,36824341,2413,3,2,0
astar_bidir_chpot,81505729,189837356,723992,707903,786930,28,526487,1494.65505,36824341,2413,3,2,0
core_ch,81505729,189837356,723992,707903,786930,28,526487,6.521738,29324647,2413,3,2,0
core_ch_chpot,81505729,189837356,723992,707903,786930,28,526487,4.493152,29324647,2413,3,2,0
astar_chpot,81505729,189837356,3443,3003,3543,16,2608,3.0915589999999997,24683597,1840,5,1,0
astar_bidir_chpot,81505729,189837356,3443,3003,3543,16,2608,7.650785,24683597,1840,5,1,0
core_ch,81505729,189837356,3443,3003,3543,16,2608,513.9828699999999,24643397,1840,5,1,0
core_ch_chpot,81505729,189837356,3443,3003,3543,16,2608,6.971991,24643397,1840,5,1,0
astar_chpot,81505729,189837356,35010109,59557151,65526147,31919,5173560,108902.77801400001,200019229,6177,11,6,3
astar_bidir_chpot,81505729,189837356,35010109,59557151,65526147,31919,5173560,145589.165775,200019229,6177,11,6,3
core_ch,81505729,189837356,35010109,59557151,65526147,31919,5173560,1199.303711,200811587,6177,11,6,3
core_ch_chpot,81505729,189837356,35010109,59557151,65526147,31919,5173560,43.511654,200811587,6177,11,6,3
astar_chpot,81505729,189837356,21143654,31982525,35084382,6306,5242018,41607.926271,137732658,3820,6,4,2
astar_bidir_chpot,81505729,189837356,21143654,31982525,35084382,6306,5242018,30855.138471,137732658,3820,6,4,2
core_ch,81505729,189837356,21143654,31982525,35084382,6306,5242018,858.885409,NaN,NaN,NaN,NaN,NaN
core_ch_chpot,81505729,189837356,21143654,31982525,35084382,6306,5242018,985.030391,NaN,NaN,NaN,NaN,NaN
astar_chpot,81505729,189837356,375478,350154,403695,198,304607,542.68558,96859870,4628,6,3,1
astar_bidir_chpot,81505729,189837356,375478,350154,403695,198,304607,1756.780494,96859870,4628,6,3,1
core_ch,81505729,189837356,375478,350154,403695,198,304607,1236.072153,100973967,4628,6,3,1
core_ch_chpot,81505729,189837356,375478,350154,403695,198,304607,68.74209,100973967,4628,6,3,1
astar_chpot,81505729,189837356,76131,78845,97592,41,51691,95.339875,73558886,2428,3,2,1
astar_bidir_chpot,81505729,189837356,76131,78845,97592,41,51691,207.93259799999998,73558886,2428,3,2,1
core_ch,81505729,189837356,76131,78845,97592,41,51691,963.2517320000001,79684261,2428,3,2,1
core_ch_chpot,81505729,189837356,76131,78845,97592,41,51691,17.443279,79684261,2428,3,2,1
astar_chpot,81505729,189837356,4052890,6955558,7483258,2158,2406371,9776.324087,83270181,2756,5,3,1
astar_bidir_chpot,81505729,189837356,4052890,6955558,7483258,2158,2406371,11243.296963,83270181,2756,5,3,1
core_ch,81505729,189837356,4052890,6955558,7483258,2158,2406371,1013.795478,82923544,2756,5,3,1
core_ch_chpot,81505729,189837356,4052890,6955558,7483258,2158,2406371,11.671568,82923544,2756,5,3,1
astar_chpot,81505729,189837356,962,687,967,0,687,2.326183,11233633,687,0,0,0
astar_bidir_chpot,81505729,189837356,962,687,967,0,687,6.328753000000001,11233633,687,0,0,0
core_ch,81505729,189837356,962,687,967,0,687,6.933065,11233633,687,0,0,0
core_ch_chpot,81505729,189837356,962,687,967,0,687,6.723152,11233633,687,0,0,0
