algo,graph_num_nodes,graph_num_edges,num_queue_pushes,num_settled,num_labels_propagated,num_labels_reset,num_nodes_searched,time_ms,path_distance,path_number_nodes,path_number_flagged_nodes,path_number_short_pauses,path_number_long_pauses
dijkstra,12547874,29477659,1038499,1024522,1125089,203,1023543,891.663115,4972484,713,0,0,0
astar_chpot,12547874,29477659,1115,713,1127,0,713,1.6822219999999999,4972484,713,0,0,0
dijkstra_bidir_chpot,12547874,29477659,1038499,1024522,1125089,203,1023543,389.171094,4972484,713,0,0,0
astar_bidir_chpot,12547874,29477659,1115,713,1127,0,713,2.1608729999999996,4972484,713,0,0,0
core_ch,12547874,29477659,1115,713,1127,0,713,14.52233,4972484,713,0,0,0
core_ch_chpot,12547874,29477659,1115,713,1127,0,713,1.161785,4972484,713,0,0,0
dijkstra,12547874,29477659,49078943,63164940,68105466,9294,10954329,103931.305307,19604893,1874,1,1,0
astar_chpot,12547874,29477659,7328,6097,7511,7,4725,6.4505609999999995,19604893,1874,1,1,0
dijkstra_bidir_chpot,12547874,29477659,49078943,63164940,68105466,9294,10954329,29672.417563,19604893,1874,1,1,0
astar_bidir_chpot,12547874,29477659,7328,6097,7511,7,4725,13.558243,19604893,1874,1,1,0
core_ch,12547874,29477659,7328,6097,7511,7,4725,247.321924,19604893,1874,1,1,0
core_ch_chpot,12547874,29477659,7328,6097,7511,7,4725,5.951726,19604893,1874,1,1,0
dijkstra,12547874,29477659,52676452,74894344,80754614,11884,11176803,121445.765642,26990209,2287,6,1,0
astar_chpot,12547874,29477659,7206,6051,7344,30,5763,7.512804,26990209,2287,6,1,0
dijkstra_bidir_chpot,12547874,29477659,52676452,74894344,80754614,11884,11176803,66100.87326,26990209,2287,6,1,0
astar_bidir_chpot,12547874,29477659,7206,6051,7344,30,5763,13.116907000000001,26990209,2287,6,1,0
core_ch,12547874,29477659,7206,6051,7344,30,5763,371.49006,26990209,2287,6,1,0
core_ch_chpot,12547874,29477659,7206,6051,7344,30,5763,6.486466,26990209,2287,6,1,0
dijkstra,12547874,29477659,27564859,35300401,38495080,5332,7372877,57629.577875,14371624,1397,3,0,0
astar_chpot,12547874,29477659,1592,1409,1618,11,1409,1.9988359999999998,14371624,1397,3,0,0
dijkstra_bidir_chpot,12547874,29477659,27564859,35300401,38495080,5332,7372877,13632.351235,14371624,1397,3,0,0
astar_bidir_chpot,12547874,29477659,1592,1409,1618,11,1409,2.406482,14371624,1397,3,0,0
core_ch,12547874,29477659,1592,1409,1618,11,1409,160.767261,14371624,1397,3,0,0
core_ch_chpot,12547874,29477659,1592,1409,1618,11,1409,4.07339,14371624,1397,3,0,0
dijkstra,12547874,29477659,37935418,49250341,52953913,8497,10163348,75273.366378,24226180,2226,3,1,0
astar_chpot,12547874,29477659,5448,4499,5549,4,4443,5.6048670000000005,24226180,2226,3,1,0
dijkstra_bidir_chpot,12547874,29477659,37935418,49250341,52953913,8497,10163348,52049.367347,24226180,2226,3,1,0
astar_bidir_chpot,12547874,29477659,5448,4499,5549,4,4443,11.774721999999999,24226180,2226,3,1,0
core_ch,12547874,29477659,5448,4499,5549,4,4443,336.349306,24226180,2226,3,1,0
core_ch_chpot,12547874,29477659,5448,4499,5549,4,4443,6.0548470000000005,24226180,2226,3,1,0
dijkstra,12547874,29477659,15661041,18230272,19959144,3817,6313467,28280.299589,9647847,907,0,0,0
astar_chpot,12547874,29477659,1197,913,1204,0,913,1.36019,9647847,907,0,0,0
