algo,dijkstra_rank_exponent,graph_num_nodes,graph_num_edges,num_queue_pushes,num_settled,num_labels_propagated,num_labels_reset,num_nodes_searched,time_ms,path_distance,path_number_nodes,path_number_flagged_nodes,path_number_short_pauses,path_number_long_pauses
astar_chpot,15,81505729,189837356,568,339,572,0,339,1.521026,4377928,338,0,0,0
astar_chpot,16,81505729,189837356,837,549,859,0,549,1.719755,6758642,549,0,0,0
astar_chpot,17,81505729,189837356,864,536,876,0,536,0.8241280000000001,9918351,535,0,0,0
astar_chpot,18,81505729,189837356,1350,889,1397,0,889,1.7249640000000002,14661388,889,0,0,0
astar_chpot,19,81505729,189837356,284777,284777,313725,0,284777,162.852119,NaN,NaN,NaN,NaN,NaN
astar_chpot,20,81505729,189837356,284777,284777,312902,0,284777,214.21994,NaN,NaN,NaN,NaN,NaN
astar_chpot,21,81505729,189837356,284777,284777,313896,0,284777,163.089448,NaN,NaN,NaN,NaN,NaN
astar_chpot,22,81505729,189837356,284777,284777,313493,0,284777,216.170847,NaN,NaN,NaN,NaN,NaN
astar_chpot,23,81505729,189837356,284777,284777,313493,0,284777,161.61371499999998,NaN,NaN,NaN,NaN,NaN
astar_chpot,24,81505729,189837356,284777,284777,313493,0,284777,217.267037,NaN,NaN,NaN,NaN,NaN
astar_chpot,25,81505729,189837356,284777,284777,313493,0,284777,222.896704,NaN,NaN,NaN,NaN,NaN
astar_chpot,0,81505729,189837356,3,1,2,0,1,0.409921,0,1,0,0,0
astar_chpot,1,81505729,189837356,3,2,2,0,2,0.118783,1273,2,0,0,0
astar_chpot,2,81505729,189837356,6,4,5,0,4,0.115688,2213,4,0,0,0
astar_chpot,3,81505729,189837356,11,7,10,0,7,0.120277,4648,7,0,0,0
astar_chpot,4,81505729,189837356,12,8,11,0,8,0.12689799999999998,13067,8,0,0,0
astar_chpot,5,81505729,189837356,18,11,17,0,11,0.12906800000000002,27469,11,0,0,0
astar_chpot,6,81505729,189837356,22,13,21,0,13,0.133654,54037,13,0,0,0
astar_chpot,7,81505729,189837356,38,23,37,0,23,0.153118,82477,23,0,0,0
astar_chpot,8,81505729,189837356,36,24,35,0,24,0.146157,123066,24,0,0,0
astar_chpot,9,81505729,189837356,45,23,44,0,23,1.8522969999999999,240629,23,0,0,0
astar_chpot,10,81505729,189837356,57,29,56,0,29,2.259541,330429,29,0,0,0
astar_chpot,11,81505729,189837356,90,48,90,0,48,2.56385,574677,48,0,0,0
astar_chpot,12,81505729,189837356,175,93,176,0,93,0.298065,792268,93,0,0,0
astar_chpot,13,81505729,189837356,305,180,310,0,180,0.36725100000000005,937377,180,0,0,0
astar_chpot,14,81505729,189837356,231,127,230,0,127,0.275655,1308950,127,0,0,0
astar_chpot,15,81505729,189837356,224,153,224,0,153,1.3622969999999999,1739276,153,0,0,0
astar_chpot,16,81505729,189837356,268,188,269,0,188,0.79571,2205366,188,0,0,0
astar_chpot,17,81505729,189837356,320,246,321,0,246,0.54094,3223407,246,0,0,0
astar_chpot,18,81505729,189837356,365,273,365,0,273,0.43324,4125234,273,0,0,0
astar_chpot,19,81505729,189837356,581,443,586,0,443,1.340765,6788223,443,0,0,0
astar_chpot,20,81505729,189837356,761,635,762,0,635,0.77873,10863165,635,0,0,0
astar_chpot,21,81505729,189837356,193046,180298,209081,2,179690,171.364395,21332997,1282,2,1,0
astar_chpot,22,81505729,189837356,5189516,6267450,6956339,12,2551005,5543.219872,NaN,NaN,NaN,NaN,NaN
astar_chpot,23,81505729,189837356,6180182,6265820,6954929,12,2551005,6172.172106,NaN,NaN,NaN,NaN,NaN
astar_chpot,24,81505729,189837356,4803023,6265820,6955073,12,2551005,5462.0062960000005,NaN,NaN,NaN,NaN,NaN
astar_chpot,25,81505729,189837356,6257637,6265820,6955837,12,2551005,6315.884932999999,NaN,NaN,NaN,NaN,NaN
astar_chpot,0,81505729,189837356,3,1,3,0,1,0.730706,0,1,0,0,0
astar_chpot,1,81505729,189837356,3,2,2,0,2,0.37381,4050,2,0,0,0
astar_chpot,2,81505729,189837356,5,3,5,0,3,0.38870499999999997,16650,3,0,0,0
astar_chpot,3,81505729,189837356,9,5,9,0,5,0.381653,56880,5,0,0,0
astar_chpot,4,81505729,189837356,12,7,12,0,7,0.539852,93420,7,0,0,0
astar_chpot,5,81505729,189837356,30,18,30,0,18,0.323426,132454,18,0,0,0
astar_chpot,6,81505729,189837356,36,24,36,0,24,0.5899409999999999,157528,24,0,0,0
astar_chpot,7,81505729,189837356,49,33,49,0,33,0.338378,192070,33,0,0,0
astar_chpot,8,81505729,189837356,66,41,67,0,41,0.617342,238150,41,0,0,0
