parking_set_type,parking_set_size,time_ms,path_distance
ev,56011,4.316772,144323888
ev,56011,3.2597910000000003,27699826
ev,56011,3.712307,NaN
ev,56011,5.941033,NaN
ev,56011,5.008905,88615166
ev,56011,6.552319,NaN
ev,56011,5.383982,NaN
ev,56011,4.8026539999999995,76943720
ev,56011,3.536772,NaN
ev,56011,4.439585,37206921
ev,56011,2.329932,27965645
ev,56011,4.700388,67438034
ev,56011,5.045325,155296672
ev,56011,6.546279999999999,NaN
ev,56011,2.5652980000000003,46200456
ev,56011,2.122483,NaN
ev,56011,2.43401,76370644
ev,56011,4.709482,118364185
ev,56011,4.300568999999999,85013616
ev,56011,3.495063,137852106
ev,56011,5.08927,85035359
ev,56011,1.961395,NaN
ev,56011,2.6784920000000003,20446886
ev,56011,7.185554000000001,NaN
ev,56011,7.068525,NaN
ev,56011,4.203611,97774671
ev,56011,3.7521579999999997,62970286
ev,56011,3.219084,35803526
ev,56011,2.060862,122298203
ev,56011,3.654493,NaN
ev,56011,3.4087140000000002,25212942
ev,56011,5.507089,91526870
ev,56011,2.399576,43338953
ev,56011,6.1186419999999995,NaN
ev,56011,3.0630800000000002,NaN
ev,56011,3.445095,117411612
ev,56011,3.360718,44424206
ev,56011,2.575286,21595257
ev,56011,5.675091,NaN
ev,56011,6.2005419999999996,NaN
ev,56011,2.707448,13879597
ev,56011,3.6248069999999997,63336591
ev,56011,3.2460359999999997,42894496
ev,56011,5.564925,100896365
ev,56011,5.472849999999999,NaN
ev,56011,5.947209999999999,NaN
ev,56011,4.7904599999999995,148733894
ev,56011,4.587856,72642034
ev,56011,2.049315,NaN
ev,56011,3.58944,91959419
ev,56011,4.293903,NaN
ev,56011,3.6159220000000003,75503876
ev,56011,4.513267,48406724
ev,56011,3.460014,58683753
ev,56011,4.7366209999999995,116278081
ev,56011,3.963891,51348982
ev,56011,2.3352910000000002,23821940
ev,56011,6.149253000000001,NaN
ev,56011,4.747363999999999,NaN
ev,56011,2.643322,56644495
ev,56011,4.4818039999999995,NaN
ev,56011,3.093067,72198131
ev,56011,4.713477,38105797
ev,56011,3.52765,115930691
ev,56011,3.627894,NaN
ev,56011,3.34062,20402874
ev,56011,3.015906,63408538
ev,56011,5.247408,NaN
ev,56011,3.9843420000000003,52204450
ev,56011,4.5032179999999995,207887646
ev,56011,4.655559,137702194
ev,56011,4.592898,200273370
ev,56011,4.019601000000001,40911371
ev,56011,5.256242,NaN
ev,56011,3.399863,114019612
ev,56011,1.740272,9827636
ev,56011,3.251447,63140130
ev,56011,3.902769,NaN
ev,56011,3.89282,50806123
ev,56011,3.331699,32888262
ev,56011,2.260745,9684903
ev,56011,3.926036,NaN
ev,56011,2.595932,32378400
ev,56011,2.0779710000000002,NaN
ev,56011,3.393486,NaN
ev,56011,2.198738,NaN
ev,56011,5.644576,NaN
ev,56011,3.76414,62901737
ev,56011,4.257312,84971693
ev,56011,2.496175,31429227
ev,56011,2.242985,45610479
ev,56011,3.072827,67124189
ev,56011,5.536108,NaN
ev,56011,4.48251,96228291
ev,56011,2.181898,NaN
ev,56011,4.5756369999999995,48092226
ev,56011,3.6504369999999997,NaN
ev,56011,4.650613,NaN
ev,56011,2.859388,39163868
ev,56011,2.276322,24482292
ev,56011,2.770205,29395624
ev,56011,3.114131,27745120
ev,56011,3.826342,52727963
ev,56011,5.864918,NaN
ev,56011,7.242323,NaN
ev,56011,3.051804,60757038
ev,56011,2.905692,46989810
ev,56011,3.0575039999999998,20034310
ev,56011,3.168935,45438470
ev,56011,1.6577169999999999,NaN
ev,56011,4.943033000000001,NaN
ev,56011,2.635828,32102193
ev,56011,5.442242,NaN
ev,56011,4.842956,NaN
ev,56011,2.725569,26559210
ev,56011,8.572719,NaN
ev,56011,1.768596,NaN
ev,56011,2.803034,63009932
ev,56011,6.6923520000000005,NaN
ev,56011,2.377586,56848059
ev,56011,3.253445,52360415
ev,56011,2.402861,NaN
ev,56011,2.737083,40349238
ev,56011,2.616009,51823078
ev,56011,6.801462,NaN
ev,56011,2.4941400000000002,24459219
ev,56011,3.4941210000000003,50638167
ev,56011,4.929893,107491083
ev,56011,3.8851229999999997,96098883
ev,56011,4.023801,46543259
ev,56011,4.959288,65021250
ev,56011,7.519944,NaN
ev,56011,1.820906,43997173
ev,56011,3.0554750000000004,44641200
ev,56011,3.2901409999999998,105497418
ev,56011,5.9124620000000006,125159780
ev,56011,3.164612,35832255
ev,56011,2.064295,60108788
ev,56011,2.913493,25753667
ev,56011,2.307404,54788228
ev,56011,3.6414020000000002,NaN
ev,56011,3.9401540000000006,108842198
ev,56011,4.356045,NaN
ev,56011,3.779796,NaN
ev,56011,3.7651619999999997,95094250
ev,56011,4.074584,NaN
ev,56011,8.311461,NaN
ev,56011,4.862346,NaN
ev,56011,4.092316,NaN
ev,56011,2.8792679999999997,48599422
ev,56011,4.484033,74440320
ev,56011,5.306682,NaN
ev,56011,6.294522000000001,NaN
ev,56011,3.574055,106176049
ev,56011,3.431763,30197077
ev,56011,2.80368,73602064
ev,56011,5.430574,NaN
ev,56011,4.078263000000001,93751512
ev,56011,2.183388,19089925
ev,56011,5.292135,81257861
ev,56011,3.659472,55081459
ev,56011,4.097332000000001,47083985
ev,56011,4.323032,77184945
ev,56011,4.622327,NaN
ev,56011,2.222767,53186022
ev,56011,3.328854,NaN
ev,56011,3.4472449999999997,NaN
ev,56011,6.006672999999999,NaN
ev,56011,1.899719,NaN
ev,56011,3.396111,NaN
ev,56011,2.492482,23727916
ev,56011,3.28107,65299219
ev,56011,2.39941,21578353
ev,56011,7.21455,NaN
ev,56011,5.3088880000000005,175293401
ev,56011,2.9956549999999997,NaN
ev,56011,4.299779,NaN
ev,56011,1.916623,19729766
ev,56011,2.2459849999999997,27676081
ev,56011,6.002208,NaN
ev,56011,3.5290619999999997,70679421
ev,56011,3.805759,62058977
ev,56011,6.455585,NaN
ev,56011,2.51205,64460383
ev,56011,1.571511,NaN
ev,56011,4.660533,NaN
ev,56011,3.145733,61917138
ev,56011,5.262873000000001,NaN
ev,56011,5.2493549999999995,84561166
ev,56011,2.708894,12654664
ev,56011,4.274439,114131126
ev,56011,3.336144,NaN
ev,56011,4.840751,155234901
ev,56011,4.0694870000000005,78783877
ev,56011,2.380623,14031432
ev,56011,2.4911209999999997,14255360
ev,56011,1.9223540000000001,NaN
ev,56011,3.248061,137275709
ev,56011,3.5557459999999996,60163657
ev,56011,4.834884000000001,84060595
ev,56011,2.723183,35445625
ev,56011,6.22346,NaN
ev,56011,2.131569,39695463
ev,56011,3.511666,43638563
ev,56011,2.0659419999999997,13665089
ev,56011,4.940728,62984510
ev,56011,4.788817,NaN
ev,56011,1.4059190000000001,NaN
ev,56011,3.9833940000000005,128299497
ev,56011,2.991806,8649474
ev,56011,3.3333999999999997,54251317
ev,56011,2.44281,22510762
ev,56011,4.8442099999999995,68700113
ev,56011,6.879952,NaN
ev,56011,3.6040970000000003,NaN
ev,56011,8.546303,NaN
ev,56011,4.881273,NaN
ev,56011,6.044080999999999,NaN
ev,56011,4.9278439999999994,150736598
ev,56011,3.033001,20526806
ev,56011,4.029252,105802110
ev,56011,3.676436,35585331
ev,56011,3.9981089999999995,NaN
ev,56011,4.36548,104653106
ev,56011,4.133435,NaN
ev,56011,5.288368,NaN
ev,56011,3.421983,55332692
ev,56011,5.215382999999999,NaN
ev,56011,5.933472,NaN
ev,56011,4.298967,68913127
ev,56011,2.019059,71730586
ev,56011,3.847226,76752259
ev,56011,4.688188,60448406
ev,56011,5.017796,NaN
ev,56011,3.04646,37057584
ev,56011,4.770271,127351379
ev,56011,3.428454,NaN
ev,56011,2.096897,23390585
ev,56011,4.3652370000000005,72094824
ev,56011,3.459927,43181647
ev,56011,4.0142679999999995,85324292
ev,56011,3.140003,33951778
ev,56011,4.605385,NaN
ev,56011,6.386995000000001,NaN
ev,56011,6.914765,NaN
ev,56011,5.284783,NaN
ev,56011,4.66446,NaN
ev,56011,2.912674,74189792
ev,56011,1.811191,32399384
ev,56011,6.858267000000001,NaN
ev,56011,4.495235,150440203
ev,56011,3.854199,55507215
ev,56011,5.171698,99682919
ev,56011,5.162896999999999,NaN
ev,56011,2.362155,69573542
ev,56011,2.3830430000000002,27313048
ev,56011,4.804347,NaN
ev,56011,2.830505,75260718
ev,56011,4.853133,146661198
ev,56011,6.432713,NaN
ev,56011,3.0624,115485879
ev,56011,3.196998,NaN
ev,56011,2.5361580000000004,23224736
ev,56011,5.143918,111774023
ev,56011,3.615982,62930461
ev,56011,2.4314549999999997,19516145
ev,56011,5.383178,NaN
ev,56011,2.6448560000000003,28342302
ev,56011,3.9767639999999997,47474169
ev,56011,1.507718,NaN
ev,56011,2.66003,57056118
ev,56011,2.68824,23384890
ev,56011,6.133902,NaN
ev,56011,2.826785,NaN
ev,56011,3.64101,73413587
ev,56011,3.560837,71239778
ev,56011,3.4915469999999997,79356340
ev,56011,3.7811160000000004,NaN
ev,56011,2.101634,12919384
ev,56011,3.902533,NaN
ev,56011,3.294724,94915205
ev,56011,2.60131,22386887
ev,56011,4.496422,NaN
ev,56011,2.056797,26849590
ev,56011,1.593812,NaN
ev,56011,4.057028,NaN
ev,56011,3.842058,102101446
ev,56011,4.932396000000001,NaN
ev,56011,5.981308,95606990
ev,56011,2.2514250000000002,19173967
ev,56011,2.804648,NaN
ev,56011,3.881823,NaN
ev,56011,4.636439,NaN
ev,56011,2.7440339999999996,43773102
ev,56011,2.314066,24365792
ev,56011,5.630553,NaN
ev,56011,3.267201,32531294
ev,56011,4.395671,89045809
ev,56011,2.482521,12668207
ev,56011,2.27716,131616635
ev,56011,3.180273,23410428
ev,56011,3.51941,NaN
ev,56011,4.918801,105695938
ev,56011,3.46877,38648533
ev,56011,3.3475979999999996,137002994
ev,56011,3.298965,57349570
ev,56011,2.0923640000000003,63596796
ev,56011,2.7503699999999998,89293845
ev,56011,3.2933250000000003,96805711
ev,56011,4.318042999999999,69725965
ev,56011,5.666644,NaN
ev,56011,4.472258,96112176
ev,56011,3.5357040000000004,NaN
ev,56011,4.968816,NaN
ev,56011,3.347143,NaN
ev,56011,2.0159610000000003,24143483
ev,56011,3.631497,NaN
ev,56011,4.995710000000001,148673735
ev,56011,4.136095999999999,203748614
ev,56011,6.545471,NaN
ev,56011,2.728866,58865253
ev,56011,2.025009,10055796
ev,56011,1.925669,NaN
ev,56011,3.0404859999999996,24133220
ev,56011,3.003179,41641477
ev,56011,4.149332,NaN
ev,56011,7.573205000000001,NaN
ev,56011,5.053895,NaN
ev,56011,3.014212,38627224
ev,56011,5.477064,175483611
ev,56011,4.030607000000001,NaN
ev,56011,4.255086,71983913
ev,56011,6.222257,NaN
ev,56011,4.057647,53882998
ev,56011,4.741429999999999,171532831
ev,56011,3.3256750000000004,78601754
ev,56011,4.281028,NaN
ev,56011,1.60369,NaN
ev,56011,5.022809,99177463
ev,56011,2.819605,96934174
ev,56011,2.519576,45099542
ev,56011,4.041772,62927852
ev,56011,3.953174,87660585
ev,56011,4.180553,103933247
ev,56011,2.399564,38358515
ev,56011,5.274541,NaN
