algo,dijkstra_rank_exponent,graph_num_nodes,graph_num_edges,num_queue_pushes,num_settled,num_labels_propagated,num_labels_reset,num_nodes_searched,time_ms,path_distance,path_number_nodes,path_number_flagged_nodes,path_number_pauses
astar_chpot,9,81505729,189837356,83,43,82,0,43,0.15718500000000002,299664,43,0,0
astar_chpot,10,81505729,189837356,102,57,103,0,57,0.489563,367333,57,0,0
astar_chpot,11,81505729,189837356,123,70,123,0,70,0.230704,476443,70,0,0
astar_chpot,12,81505729,189837356,175,93,176,0,93,0.531654,575924,93,0,0
astar_chpot,13,81505729,189837356,158,91,159,0,91,0.399789,683520,91,0,0
astar_chpot,14,81505729,189837356,261,148,263,0,148,0.306347,906338,148,0,0
astar_chpot,15,81505729,189837356,307,185,310,0,185,0.33961,1219643,185,0,0
astar_chpot,16,81505729,189837356,303,184,307,0,184,0.37943699999999997,1619068,184,0,0
astar_chpot,17,81505729,189837356,255,156,258,0,156,0.375119,2238619,156,0,0
astar_chpot,18,81505729,189837356,276,169,279,0,169,0.98822,2937922,169,0,0
astar_chpot,19,81505729,189837356,732,421,737,0,421,0.772015,4191509,421,0,0
astar_chpot,20,81505729,189837356,481,351,483,0,351,0.7380140000000001,6740150,351,0,0
astar_chpot,21,81505729,189837356,1012,810,1015,0,810,1.121642,11265406,810,0,0
astar_chpot,22,81505729,189837356,4998,3837,5146,3,3538,3.6011379999999997,19321414,1191,3,1
astar_chpot,23,81505729,189837356,3131,2639,3186,3,2212,3.087053,24239963,1627,2,1
astar_chpot,24,81505729,189837356,4068,3133,4154,6,3079,3.727944,31402196,1901,6,1
astar_chpot,25,81505729,189837356,1373451,1352074,1454700,92,904198,1373.951217,52518268,2725,4,3
astar_chpot,0,81505729,189837356,3,1,2,0,1,2.151764,0,1,0,0
astar_chpot,1,81505729,189837356,4,2,3,0,2,0.16712000000000002,4000,2,0,0
astar_chpot,2,81505729,189837356,7,4,6,0,4,1.385006,37184,4,0,0
astar_chpot,3,81505729,189837356,6,3,5,0,3,1.374664,81000,3,0,0
astar_chpot,4,81505729,189837356,12,8,12,0,8,1.389847,129200,8,0,0
astar_chpot,5,81505729,189837356,22,13,22,0,13,138.68114500000001,158180,13,0,0
astar_chpot,6,81505729,189837356,25,14,25,0,14,0.207643,203360,14,0,0
astar_chpot,7,81505729,189837356,31,19,32,0,19,0.194245,268448,19,0,0
astar_chpot,8,81505729,189837356,54,30,55,0,30,0.207176,403340,30,0,0
